,0
0,- - 봄 옷 안 들어와요?
1,- - 이거 할인 해주세요?
2,- - 이런 거는 사이즈가 어떻게 돼요?
3,- - 66도 있어요?
4,- - 티는 여기 있는 게 다예요?
5,- - 이게 숫자 적힌 게 사이즈입니까? 
6,- - 제 사이즈는 얼만데요?
7,- - 이런 건 얼마에요?
8,- - 이게 겨울옷인가요?
9,- - 3월에 입어도 되겠어요 그죠?
10,- - 세탁은 어떻게 해요 이거?
11,- - 면바지 종류는 있어요?
12,- - 라지라면 사이즈 얼마?
13,- - 밴딩에다가 끈도 조금 있으면은 좋더라고요 그런 건 없나요?
14,- - 이런 거 말씀하시는 건가요?
15,- - 조끼 한 번 입어봐도 돼요?
16,- - 같은 걸로 다른 색도 있어요?
17,- - 이거 두 개가 디자인은 똑같은 거예요?
18,- - 그럼요 이거 주세요
19,- - 저녁에 몇 시에 문 닫죠?
20,- - 교환이나 환불 되나요?
21,- - 제가 카드밖에 없는데
22,- - 패딩조끼 오래 입으려면 드라이 맡기는 게 좋죠?
23,- - 블라우스는 없나요?
24,- - 이거는 겨울옷이네요?
25,- - 흰색 같은 그런 거는 있나요?
26,- - 이것도 괜찮지 않아요?
27,- - 이런 거는 사이즈가?
28,- - 남방 종류는 없어요?
29,- - 회색은 무슨 색이랑 잘 어울려요?
30,- - 여기는 다 프리사이즈예요?
31,- - 원피스는 어떤 게 예뻐요?
32,- - 이게 시폰입니까?
33,- - 이런 시폰은 세탁은 어떻게 하나요?
34,- - 이런 거는 원단이 뭡니까?
35,- - 코트는 얼마나 해요?
36,- - 나가면 또 들어오나요?
37,- - 이런 블라우스는 얼마예요?
38,- - 좀 비싸네요 왜 그래요?
39,- - 이거는 면입니까?
40,- - 세탁은 어떻게 해요?
41,- - 이거 브랜드가 빌리브입니까?
42,- - 이런 거는 얼마라고요?
43,- - 원피스 종류도 있어요?
44,- - 제가 입어도 어울리는 거 맞나요? 좀 안 어울리죠?
45,- - 이 검은 조끼를 입으려면 안에 뭐를 입으면 좋을까요?
46,- - 이런 거는 얼마예요?
47,- - 티보다는 칼라 있는 게 어울릴까요?
48,- - 조끼에다가 바지만 입으셔도 예쁜데 한 번 입어보시겠어요?
49,- - 가격은 이거보다 조금 낮은 거는 없어요?
50,- - 색상으로 봤을 때는 이 색상이 제일 어울려 보이는데요?
51,- - 이거 사이즈 다 한 개예요?
52,- - 이거 또 안 들어와요?
53,- - 제가 입을만한 옷 있을까요?
54,- - 뭐를 찾으십니까?
55,- - 남방 같은 거 어떠세요?
56,- - 이제는 얇은 거만 나오나요?
57,- - 그런 거는 얼마예요?
58,- - 이런 바지 없나요?
59,- - 이런 남방은 얼마예요?
60,- - 남방 컬러 종류는 어떤 게 있나요?
61,- - 이런 거는 얼마예요?
