,0
0,- - 봄 옷 안 들어와요?
2,- - 이거 할인 해주세요?
4,- - 이런 거는 사이즈가 어떻게 돼요?
6,- - 66도 있어요?
8,- - 티는 여기 있는 게 다예요?
10,- - 이게 숫자 적힌 게 사이즈입니까? 
12,- - 제 사이즈는 얼만데요?
14,- - 이런 건 얼마에요?
16,- - 이게 겨울옷인가요?
18,- - 3월에 입어도 되겠어요 그죠?
20,- - 세탁은 어떻게 해요 이거?
22,- - 면바지 종류는 있어요?
24,- - 라지라면 사이즈 얼마?
26,- - 밴딩에다가 끈도 조금 있으면은 좋더라고요 그런 건 없나요?
27,- - 이런 거 말씀하시는 건가요?
29,- - 조끼 한 번 입어봐도 돼요?
31,- - 같은 걸로 다른 색도 있어요?
33,- - 이거 두 개가 디자인은 똑같은 거예요?
35,- - 그럼요 이거 주세요
37,- - 저녁에 몇 시에 문 닫죠?
39,- - 교환이나 환불 되나요?
41,- - 제가 카드밖에 없는데
43,- - 패딩조끼 오래 입으려면 드라이 맡기는 게 좋죠?
45,- - 블라우스는 없나요?
47,- - 이거는 겨울옷이네요?
49,- - 흰색 같은 그런 거는 있나요?
51,- - 이것도 괜찮지 않아요?
52,- - 이런 거는 사이즈가?
54,- - 남방 종류는 없어요?
56,- - 회색은 무슨 색이랑 잘 어울려요?
58,- - 여기는 다 프리사이즈예요?
60,- - 원피스는 어떤 게 예뻐요?
62,- - 이게 시폰입니까?
64,- - 이런 시폰은 세탁은 어떻게 하나요?
66,- - 이런 거는 원단이 뭡니까?
68,- - 코트는 얼마나 해요?
70,- - 나가면 또 들어오나요?
72,- - 이런 블라우스는 얼마예요?
74,- - 좀 비싸네요 왜 그래요?
76,- - 이거는 면입니까?
78,- - 세탁은 어떻게 해요?
80,- - 이거 브랜드가 빌리브입니까?
82,- - 이런 거는 얼마라고요?
84,- - 원피스 종류도 있어요?
86,- - 제가 입어도 어울리는 거 맞나요? 좀 안 어울리죠?
88,- - 이 검은 조끼를 입으려면 안에 뭐를 입으면 좋을까요?
90,- - 이런 거는 얼마예요?
92,- - 티보다는 칼라 있는 게 어울릴까요?
94,- - 조끼에다가 바지만 입으셔도 예쁜데 한 번 입어보시겠어요?
95,- - 가격은 이거보다 조금 낮은 거는 없어요?
97,- - 색상으로 봤을 때는 이 색상이 제일 어울려 보이는데요?
99,- - 이거 사이즈 다 한 개예요?
101,- - 이거 또 안 들어와요?
103,- - 제가 입을만한 옷 있을까요?
104,- - 뭐를 찾으십니까?
106,- - 남방 같은 거 어떠세요?
109,- - 이제는 얇은 거만 나오나요?
111,- - 그런 거는 얼마예요?
113,- - 이런 바지 없나요?
115,- - 이런 남방은 얼마예요?
117,- - 남방 컬러 종류는 어떤 게 있나요?
119,- - 이런 거는 얼마예요?
121,- - 이런 거 가격 좀 잘해주세요
123,- - 이거는 사이즈는 한 가지입니까?
125,- - 한 번 입어 보세요
127,- - 이런 흰 면바지는 얼마예요?
129,- - 겨자색 저거는 얼마예요?
131,- - 겨울 옷 있어요?
133,- - 찾으시는 거 있어요?
134,- - 여기 옷은 브랜드는 아니죠?
